codigo_municipio;nombre_alcalde;titulo_alcalde;telefono_alcalde;email_alcalde
5059;MARTHA LIBIA PARRA GIL;Alcaldesa;8559015-8559064;alcaldia@armenia-antioquia.gov.co
5079;JUAN DAVID ROJAS AGUDELO;Alcalde;4548300-4548311-4548311-4065441-4065441;alcaldia@barbosa.gov.co
5088;YULIETH LORENA GONZÁLEZ OSPINA;Alcaldesa;604 79 44;contactenos@bello.gov.co
5086;DARCY ESTEBAN ARBOLEDA RUA;Alcalde;8674030;alcaldia@belmira-antioquia.gov.co
5091;DIEGO ARLEY DE JESÚS GUERRA GUTIÉRREZ;Alcalde;8435127 Ext 105- 8435180;alcaldia@betania-antioquia.gov.co
5093;NÉSTOR CAMILO SERNA HERNÁNDEZ;Alcalde;8436093-8436157-8430631;alcaldia@betulia-antioquia.gov.co
5107;NOÉ DE JESÚS ESPINOSA VÁSQUEZ;Alcalde;8570051-8570140;alcaldia@briceno-antioquia.gov.co
5113;JOSÉ LUIS RODRÍGUEZ ÚSUGA;Alcalde;8527015-8527041;alcaldia@buritica-antioquia.gov.co
5120;DAMIANA MARÍA MONTERROSA PÉREZ;Alcaldesa;8362201-8362203-8362202;alcaldia@caceres-antioquia.gov.co
5125;YÚBER FELIPE MOLINA MURILLO;Alcalde;8572002 Ext 103 - 8572134;alcaldia@caicedo-antioquia.gov.co
5129;JORGE MARIO RENDÓN VÉLEZ;Alcalde;3788500 - 3788504 - 3788515 - 3788502;alcaldia@caldasantioquia.gov.co
5134;CRISTIÁN ÁNDRÉS AGUDELO POSADA;Alcalde;8614020-8614055-8614229;alcaldia@campamento-antioquia.gov.co
5138;DIEGO ALONSO VANEGAS ARANGO;Alcalde;8564101-8564903-8564319;alcaldia@canasgordas-antioquia.gov.co
5142;RODRIGO ALVEIRO CADAVID HERRERA;Alcalde;8336025 Ext 102-8336045;alcaldia@caracoli-antioquia.gov.co
5145;JUAN ESTEBAN CORREA CÁRDENAS;Alcalde;8553354 - 8553414 - 8553310;alcaldia@caramanta-antioquia.gov.co
5147;AGAPITO MURILLO PALACIOS;Alcalde;8239402- 8236706- 8236581-8237131;alcaldia@carepa-antioquia.gov.co
5150;ANA ISABEL AVENDAÑO DUQUE;Alcaldesa;8634033-8634259 Ext 103 - 8434029;alcaldia@carolinadelprincipe-antioquia.gov.co
5154;JHOAN ODERIS MONTES CORTÉS;Alcalde;8391595 - 8394444;alcaldia@caucasia-antioquia.gov.co
5190;LINA MARÍA CORREA VALENCIA;Alcaldesa;8631567;alcaldia@cisneros-antioquia.gov.co
5101;LEÓN DARÍO ACEVEDO VARGAS;Alcalde;8411183 Ext 12-8412552 - 8411144;alcaldia@ciudadbolivar-antioquia.gov.co
5197;DAVID ALEJANDRO GÓMEZ HOYOS;Alcalde;8343404-8343425-8343096-8343529;alcaldia@cocorna-antioquia.gov.co
5206;ADRIÁN HENAO CARVAJAL;Alcalde;8567084-8567274-8567176-8567034;alcaldia@concepcion-antioquia.gov.co
5209;ALEXANDRA MARÍA HERRERA QUIJANO;Alcaldesa;8446089-8446101-8446275-8447492;alcaldia@concordia-antioquia.gov.co
5212;JOHNNATAN ANDRÉS PINEDA AGUDELO;Alcalde;2740069-2740041-2742582;alcaldia@copacabana.gov.co
5172;TULIA IRENE RUIZ GARCÍA;Alcaldesa;8253630 - 8253868 - 8255885;alcaldia@chigorodo-antioquia.gov.co
5234;DANIEL HIGUITA HERRERA;Alcalde;8590300-8590475-8591234-8591293;alcaldia@dabeiba-antioquia.gov.co
5237;JAVIER DARÍO LÓPEZ RESTREPO;Alcalde;8663243-8666230 Ext 109;alcaldia@donmatias-antioquia.gov.co
5240;DAVID ALONSO RESTREPO CASTRILLÓN;Alcalde;8562190 EXT 101-8562016;alcaldia@ebejico-antioquia.gov.co
5250;MARCO FIDEL TRESPALACIO BULLOSO;Alcalde;8372429;alcaldia@elbagre-antioquia.gov.co
5148;HUGO ALFONSO JÍMENEZ CUERVO;Alcalde;5432000 Ext 129 - 5432467-5432116-5432020-5432149;alcaldia@elcarmendeviboral-antioquia.gov.co
5541;SANDRA ARELIS DUQUE VELÁSQUEZ;Alcaldesa;8515855-8515851-8515944;alcaldia@elpenol-antioquia.gov.co
5607;SANTIAGO MONTOYA GIRALDO;Alcalde;5411860-5410175-5413067-5410180-5410190;alcaldia@elretiro.gov.co
5697;MARTÍN ALBERTO DUQUE GALLO;Alcalde;5460080 Ext 101-5461172-5460201-5461362;despachoalcaldia@elsantuario-antioquia.gov.co
5264;JULIO CÉSAR LOPERA POSADA;Alcalde;8670411-8670147-8670412;alcaldia@entrerrios-antioquia.gov.co
5266;RAÚL EDUARDO CARDONA GONZÁLEZ;Alcalde;3394000 - 3394017  - 3394018;alcaldia@envigado.gov.co
5282;ALDUBAR DE JESÚS VANEGAS MARÍN;Alcalde;8401264-8401026-8402096-8401393-8402334;alcaldia@fredonia-antioquia.gov.co
5284;LUZ GABRIELA RIVERA CANO;Alcaldesa;8595032 Ext 0-8595037-8595835;alcaldia@frontino-antioquia.gov.co
5306;MARÍA CAMILA MANCO SUÁREZ;Alcaldesa;8571107 Ext 108-8571106;alcaldia@giraldo-antioquia.gov.co
5308;KEVIN RENÉ BERNAL MORALES;Alcalde;4054200 Ext 102-4052050;contactenos@girardota.gov.co
5310;LUIS GUILLERMO PÉREZ ECHEVERRI;Alcalde;8627704-8627806-8627522;alcaldia@gomezplata-antioquia.gov.co
5313;DANIEL ANDRÉS HOYOS YEPES;Alcalde;8320549 - 8320802;alcalde@granada-antioquia.gov.co
5315;JOSÉ FERNANDO SALAZAR OSPINA;Alcalde;8616440 Ext 103 - 8616066;alcaldia@guadalupe-antioquia.gov.co
5318;DIEGO MAURICIO GRISALES GALLEGO;Alcalde;5510025-5511026-5510044-5511733;alcaldia@guarne-antioquia.gov.co
5321;DAVID ESTEBAN FRANCO VALLEJO;Alcalde;8610539-8610555 Ext 12;alcaldia@guatape-antioquia.gov.co
5347;JORGE ALEXANDER ÁLVAREZ ARANGO;Alcalde;8549635 Ext 115;alcaldia@heliconia-antioquia.gov.co
5353;ORLANDO ARTURO MARÍN ATEHORTUA;Alcalde;8432862-8432249;alcaldia@hispania-antioquia.gov.co
5360;DIEGO LEÓN TORRES SÁNCHEZ;Alcalde;3737676-3764879;contactenos@itagui.gov.co
5361;JAVIER DE JESÚS PARIAS POSSO;Alcalde;8643020-8643174-8643175;alcaldia@ituango-antioquia.gov.co
5364;CLAUDIA YANETH NARANJO AGUDELO;Alcaldesa;8455550-8455684-8455520;despachoalcalde@eljardin-antioquia.gov.co
5368;SEBASTIÁN GARCÉS PIEDRAHITA;Alcalde;8523101-8523502-8523665-8524278;alcaldia@jerico-antioquia.gov.co
5376;MARÍA ILBED SANTA SANTA;Alcaldesa;5531414 Ext 101-114;alcaldia@laceja-antioquia.gov.co
5380;CARLOS MARIO GUTIÉRREZ;Alcalde;3092687 - 2795841 - 2790058;alcalde@laestrella.gov.co
5390;HERMÁN ANTONIO CORREA BEDOYA;Alcalde;8453562-8454216;alcaldia@lapintada-antioquia.gov.co
5400;CARMEN JUDITH VALENCIA MORENO;Alcaldesa;5560610-5560654-5560630;alcaldia@launion-antioquia.gov.co
5411;NANCY AMPARO AVENDAÑO MORENO;Alcaldesa;8561865-8561113;alcaldia@liborina-antioquia.gov.co
5425;CAROLINA ANDREA SOSA GÓMEZ;Alcaldesa;8640209-8640277-8640217;alcaldia@maceo-antioquia.gov.co
5440;JULIO CÉSAR SERNA GÓMEZ;Alcalde;5484410-5484101-5484884-5480265;alcaldia@marinilla-antioquia.gov.co
5467;ÓSCAR ERNESTO CUERVO VILLADA;Alcalde;8480564 Ext 103-8480561;alcaldia@montebello-antioquia.gov.co
5475;EMPERATRIZ MENA PALACIO;Alcaldesa;8575015-8575021-8575085-8575041 8575017;alcaldia@murindo-antioquia.gov.co
5480;JAIRO ENRIQUE ORTIZ PALACIOS;Alcalde;8578602-8578812-8578799-8578663-8578113-8578740;alcaldia@mutata-antioquia.gov.co
5483;ÉRIKA CARDONA PÉREZ;Alcaldesa;8680077-8680113-8680084-8680117-8680259;alcaldia@narino-antioquia.gov.co
5495;YUMARIS PATRICIA HENRÍQUEZ BANQUET;Alcaldesa;8368156-8680204;alcaldia@nechi-antioquia.gov.co
5490;GUILLERMO JOSÉ CARDONA MORENO;Alcalde;8214166-8214564-8215039;alcaldia@necocli-antioquia.gov.co
5501;JESÚS DAVID HERNÁNDEZ LONDOÑO;Alcalde;8550117-8550116-8550119-8550221;alcaldia@olaya-antioquia.gov.co
5543;EMILSON DE JESÚS HERNÁNDEZ HERNÁNDEZ;Alcalde;8552043-8552213-8552136;alcaldia@peque-antioquia.gov.co
5576;CRISTIAN CAMILO ZAPATA RAMÍREZ;Alcalde;8498865-8498020-8498324;alcalde@pueblorrico-antioquia.gov.co
5579;ROBINSON ALBERTO BAENA ZULUAGA;Alcalde;8332120-8332517 Ext 205;alcaldia@puertoberrio-antioquia.gov.co
5585;JUAN CARLOS ACEVEDO ALZATE;Alcalde;8347047-8346201;alcaldia@puertonare-antioquia.gov.co
5591;FRANKLIN PORTILLO GÓMEZ;Alcalde;8352025-8352117-8352566;alcaldia@puertotriunfo-antioquia.gov.co
5604;ALBEIRO ARENAS MOLINA;Alcalde;8303130-8303078-8303791-8303130;alcaldia@remedios-antioquia.gov.co
5615;JORGE HUMBERTO RIVAS URREA;Alcalde;5204060;alcaldia@rionegro.gov.co
5628;CÉSAR ALONSO CUADROS GEORGE;Alcalde;8554201 - 8554154;alcaldia@sabanalarga-antioquia.gov.co
5631;ALDER JAMES CRUZ OCAMPO;Alcalde;2880098-2885294-4440088 Ext 102-2885634;alcaldia@sabaneta.gov.co
5642;VÍCTOR RAÚL MAYA CEBALLOS;Alcalde;8442330-8442301-8442213-8442562;alcaldia@salgar-antioquia.gov.co
5647;JOSÉ FERNANDO CHAVARRÍA CHAVARRÍA;Alcalde;8618206-8618173-8618154-8618232;alcaldia@sanandresdecuerquia-antioquia.gov.co
5649;SANTIAGO DAZA ESPINOSA;Alcalde;8358090-8358051-8358253-8358066;alcaldia@sancarlos-antioquia.gov.co
5652;ARTURO ALEXANDER ARIAS DUQUE;Alcalde;8323030 - 8323236;alcaldia@sanfrancisco-antioquia.gov.co
5656;DONALDO FERNÁN VIVARES GALLEGO;Alcalde;8582024-8582580-8582162-8582123;alcaldia@sanjeronimo-antioquia.gov.co
5658;JULIÁN ANDRÉS GONZÁLEZ POSADA;Alcalde;8622714-8622904;alcaldia@sanjosedelamontana-antioquia.gov.co
5659;LUIS FERNANDO RUIZ DÍAZ;Alcalde;8212100 Ext 108-8212375-8212630-8208100;alcaldia@sanjuandeuraba-antioquia.gov.co
5660;CÉSAR ABAD BUITRAGO ARIAS;Alcalde;8348115-8348102-8348720-8348716;contactenos@sanluis-antioquia.gov.co
5664;JOSÉ DANILO ÁLVAREZ RODRÍGUEZ;Alcalde;8687039-8205502-8205033;alcaldia@sanpedrodelosmilagros-antioquia.gov.co
5665;NEVER JACINTO CARVAJAL MIRANDA;Alcalde;8205502-8205503-8205033;alcaldia@sanpedrodeuraba-antioquia.gov.co
5667;EDUIN ANICENO GIRALDO QUINTANA;Alcalde;8586681-8586927-8586836-8586681;alcaldia@sanrafael-antioquia.gov.co
5670;LUIS ALEJANDRO VILLEGAS CANO;Alcalde;8656562-8656755-8656628;alcaldia@sanroque-antioquia.gov.co
5674;NELSON DE JESÚS HENAO ZAPATA;Alcalde;8544938-8544212-8544154-8544856;alcaldia@sanvicente-antioquia.gov.co
5679;JORGE MARIO QUINTANA CAÑAVERAL;Alcalde;8461060-8463607-8464151-8464302;alcaldia@santabarbara-antioquia.gov.co
5042;YAMID CARVAJAL CARVAJAL;Alcalde;8531136-8531793-8531152-8531841;alcaldia@santafedeantioquia-antioquia.gov.co
5686;LUIS BERNADO MOLINA GRANDA;Alcalde;8608020-8608336-8608120-8608416;alcaldia@santarosadeosos.gov.co
5690;FABIO IGNACIO MIRA VALENCIA;Alcalde;8621069-8621101 Ext 103 - 8621313;contactenos@santodomingo-antioquia.gov.co
5736;EDWIN ALEXANDER CASTAÑEDA VAHOS;Alcalde;8314351-8315613-8317196-8314031;alcaldia@segovia-antioquia.gov.co
5756;JUAN DIEGO ZULUAGA PULGARÍN;Alcalde;8694444-8691296;alcalde@sonson-antioquia.gov.co
5761;TATIANA ALEXANDRA CARBALLO HOYOS;Alcaldesa;8541560 ext. 102 - 8541561;alcaldia@sopetran-antioquia.gov.co
5789;JUAN PABLO PÉREZ RÁMIREZ;Alcalde;8494595-8496010-;alcaldia@tamesis-antioquia.gov.co
5790;YOMER FABIÁN ÁLVAREZ CORREA;Alcalde;8365628-8366288-8365817;alcaldia@taraza-antioquia.gov.co
5792;HUGO ALEXANDER OCAMPO RÍOS;Alcalde;8458541-8458780-8458535-8458718-8458639-8458991;alcaldia@tarso-antioquia.gov.co
5809;ALEX DAVID RESTREPO SALAZAR;Alcalde;8482649-8482344-8482790;alcaldia@titiribi-antioquia.gov.co
5819;JHONNY ALBERTO MARÍN MUÑETÓN;Alcalde;8619020 - 8619012;alcaldia@toledo-antioquia.gov.co
5837;ALEJANDRO ABUCHAR GONZÁLEZ;Alcalde;8273273 Ext 11-8275159-8272140;alcaldia@turbo-antioquia.gov.co
5842;LEONARDO ÚSUGA CORREA;Alcalde;8574062-8574066-8574131-8574240-8574169;alcaldia@uramita-antioquia.gov.co
5847;NELSON JAVIER BARRERA HOLGUÍN;Alcalde;8502300-8502181-8502145-8502181;alcaldia@urrao-antioquia.gov.co
5854;CARLOS DANOBER MOLINA BETANCUR;Alcalde;8360412-8360246-8360406-8360400-8360264;alcaldia@valdivia-antioquia.gov.co
5856;JOSÉ MARIO HERNÁNDEZ DEVIA;Alcalde;8493807-8493882-8492109;alcaldia@valparaiso-antioquia.gov.co
5858;JOSÉ MARÍA OCHOA MUÑOZ;Alcalde;8305625-8305626-8305006-8305318;alcaldia@vegachi-antioquia.gov.co
5861;FERNEY DARIO FERNÁNDEZ;Alcalde;8490042-8490023-8490052;alcaldia@venecia-antioquia.gov.co
5873;JHOSELIN LOZANO MENA;Alcalde;8678080-8678034-8678175;contactenos@vigiadelfuerte-antioquia.gov.co
5885;JHON JAIRO GIRALDO POSADA;Alcalde;8675023-8675653-8675656;alcaldia@yali-antioquia.gov.co
5887;CRISTIAN DAVID CÉSPEDES CORREA;Alcalde;8537429-8537430-8537429;alcaldia@yarumal.gov.co
5890;JESÚS AMADOR PÉREZ PALACIO;Alcalde;8654181-8654337-8654200-8655312;alcaldia@yolombo-antioquia.gov.co
5893;YERSON ANTONIO ARIZA RIVERA;Alcalde;8325109-8325461-8325025-8325212-8325111;alcaldia@yondo-antioquia.gov.co
5895;ANDRÉS EMILIO LUJAN MONROY;Alcalde;8388209-8388221-8388209-8388123;alcaldia@zaragoza-antioquia.gov.co
